"","ID","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2","Media","tempo.medio","sd_loss","sd_acc","loss","accuracy","time","Ferramenta","pos","EXP"
"1","OP1",5,0,0,2,0.473837373,3,4,24,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,8,8,6,7,NA,NA,NA,5,9,7,7,NA,NA,NA,54,NA,0.635304987,3135,0.0350918679621193,0.0118707046845149,0.725312340259552,0.781723328431447,972.830614089966,"OP","1","EXP2"
"2","OP2",5,0,1,2,0.128655272,3,4,28,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,8,8,6,7,NA,NA,NA,3,9,5,7,NA,NA,NA,46,NA,0.642174363,1844,0.0773982187232224,0.0210427477751478,0.734588219722112,0.794033334652583,696.204799898465,"OP","2","EXP2"
"3","OP3",5,0,0,2,0.097303325,3,4,18,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,8,8,6,7,NA,NA,NA,5,9,7,7,NA,NA,NA,46,NA,0.648374736,2345,0.0718865764044448,0.0210287886745561,0.735964715480804,0.779866663614909,787.8546088775,"OP","3","EXP2"
"4","OP4",5,0,0,2,0.104736808,3,4,29,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,8,8,6,7,NA,NA,NA,3,9,7,7,NA,NA,NA,46,NA,0.649629056,2128,0.0485352849991427,0.011027104497669,0.743137208620707,0.789613330364227,773.768631339073,"OP","4","EXP2"
"5","OP5",5,0,0,2,0.139481833,3,4,18,1,0,1,1,NA,NA,NA,1,0,1,1,NA,NA,NA,8,8,6,7,NA,NA,NA,5,9,7,7,NA,NA,NA,46,NA,0.651017785,2348,0.0419445966675589,0.0112788995837765,0.735358762741089,0.779259999593099,792.500614531835,"OP","5","EXP2"
"6","IR1",2,1,1,1,0.39372,5,6,162,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0.702836331,1412.655132,0.0107585898894903,0.00504542777320124,0.74329704840978,0.748876661062241,600.196632226308,"IR","1","EXP2"
"7","IR2",4,0,1,1,0.32162,3,4,117,1,1,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,6,5,5,NA,NA,NA,NA,5,9,5,NA,NA,NA,NA,NA,NA,0.772257169,369.4069045,0.0792954345871534,0.013699378183625,0.837907997767131,0.755823328097661,142.129025570552,"IR","2","EXP2"
"8","IR3",3,0,1,1,0.40907,2,9,84,1,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,0.794891381,222.5748252,0.0816197300520115,0.0235528701994537,0.835657103856405,0.731539996465047,96.9440912087758,"IR","3","EXP2"
"9","IR5",2,1,1,1,0.26488,4,9,109,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0.824238571,226.3642245,0.0209393928041989,0.00811341236192653,0.863920897245407,0.716286665201187,91.5350860039393,"IR","5","EXP2"
"10","IR4",2,1,1,1,0.41471,5,7,155,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0.826182326,597.6627763,0.0150592471087835,0.00660400636960716,0.863362042109172,0.706823335091273,283.40121688048,"IR","4","EXP2"
