"","OriginID","ID","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2","Media","tempo.medio","sd_loss","sd_acc","loss","accuracy","time","Ferramenta","pos","EXP"
"1",49,"IR1",4,0,0,2,0.38,4,4,33,1,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,8,5,8,NA,NA,NA,NA,7,5,9,NA,NA,NA,NA,86,NA,0.814144996,1264.528298,0.0232042330451037,0.00579125313306643,0.686011338233948,0.800316667556763,447.511145218213,"IR","1","EXP4"
"2",31,"IR2",5,0,0,2,0.29,3,8,219,1,0,0,0,NA,NA,NA,1,0,1,1,NA,NA,NA,5,6,8,5,NA,NA,NA,5,5,5,5,NA,NA,NA,94,NA,0.787989998,392.7026106,0.108364652844653,0.0203783440543761,0.924903782208761,0.770513333876928,166.761357959112,"IR","2","EXP4"
"3",5,"IR3",4,0,0,1,0.14,3,4,120,1,0,1,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,8,5,7,NA,NA,NA,NA,9,5,11,NA,NA,NA,NA,NA,NA,0.758814996,976.9890183,0.103637220140947,0.0129555155002931,1.0862951596578,0.739143331845601,372.104841065407,"IR","3","EXP4"
"4",17,"IR4",3,0,0,2,0.28,4,5,115,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,100,NA,0.753729999,460.0505872,0.0185978312442908,0.00639055926573136,0.817504654328028,0.735006666183472,182.863130656878,"IR","4","EXP4"
"5",16,"IR5",3,1,1,1,0.35,3,5,31,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA,0.712389994,205.7124811,1.86009316829758,0.0199752553689908,1.83069327871005,0.695356665054957,82.5449311812719,"IR","5","EXP4"
"6",304,"OP1",5,0,1,2,0.42,4,5,186,0,0,1,1,NA,NA,NA,1,1,0,1,NA,NA,NA,7,7,7,5,NA,NA,NA,3,7,9,9,NA,NA,NA,46,NA,0.855599999,2175,0.0414987662187603,0.00877330106563593,0.647766633828481,0.832449996471405,895.383687520027,"OP","1","EXP4"
"7",303,"OP2",5,0,1,2,0.42,4,5,188,0,0,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,7,7,7,5,NA,NA,NA,3,7,9,9,NA,NA,NA,47,NA,0.846499979,1872,0.0488138767983444,0.00772235463108975,0.674904278914134,0.824709997574488,865.493730592728,"OP","2","EXP4"
"8",300,"OP3",5,0,1,2,0.41,4,5,159,0,0,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,7,7,7,5,NA,NA,NA,3,7,9,9,NA,NA,NA,48,NA,0.845000029,1814,0.0369921487179909,0.00714106997585987,0.64612280925115,0.827263335386912,806.086333457629,"OP","3","EXP4"
"9",296,"OP4",5,0,1,2,0.41,4,5,177,0,0,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,7,7,7,5,NA,NA,NA,3,7,9,9,NA,NA,NA,59,NA,0.844200015,1576,0.0400322421535688,0.00737121825049449,0.664683697621028,0.826539997259776,811.985749673843,"OP","4","EXP4"
"10",294,"OP5",5,0,1,2,0.41,4,5,155,0,0,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,7,7,7,5,NA,NA,NA,3,7,9,9,NA,NA,NA,53,NA,0.843100011,1666,0.0375483527658186,0.00488267305675713,0.641494772831599,0.826643333832423,799.0691212972,"OP","5","EXP4"
