"",".ID.","camadasConvolucionais","maxpooling1","batchNormalization1","camadasDensas","dropout","learningIndex","batchIndex","numEpocas","maxpooling2","maxpooling3","maxpooling4","maxpooling5","maxpooling6","maxpooling7","maxpooling8","batchNormalization2","batchNormalization3","batchNormalization4","batchNormalization5","batchNormalization6","batchNormalization7","batchNormalization8","numFiltrosInd2","numFiltrosInd3","numFiltrosInd4","numFiltrosInd5","numFiltrosInd6","numFiltrosInd7","numFiltrosInd8","tamanhoFiltros2","tamanhoFiltros3","tamanhoFiltros4","tamanhoFiltros5","tamanhoFiltros6","tamanhoFiltros7","tamanhoFiltros8","neuroniosDensos1","neuroniosDensos2",".PARENT."
"1",1,2,0,1,1,0.48,5,8,186,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2,1,1,2,0.42,0,9,73,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,108,NA,NA
"3",3,1,1,0,1,0.44,1,5,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1,0,1,3,0.07,0,7,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,104,NA
"5",5,1,1,0,2,0.32,1,8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA
"6",6,2,0,0,2,0.43,5,10,85,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,38,NA,NA
"7",7,2,0,0,1,0.22,1,7,140,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,3,0,0,1,0.45,4,4,170,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,1,1,0,3,0.23,1,9,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,44,NA
"10",10,1,0,1,1,0.08,0,10,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,1,0,0,2,0.18,5,8,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA
"12",12,1,1,0,3,0.08,1,4,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,84,NA
"13",13,1,0,1,2,0.07,5,9,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA
"14",14,1,1,0,1,0.12,0,4,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,1,1,0,1,0.01,2,8,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,2,0,0,3,0.01,2,7,178,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,50,72,NA
"17",17,3,1,1,1,0.35,3,5,31,1,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,6,8,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,3,0,0,2,0.28,4,5,115,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,100,NA,NA
"19",19,1,1,0,1,0.15,0,6,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,1,0,1,1,0.05,4,6,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,1,1,1,1,0,0,9,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,5,1,0,1,0.23,5,6,69,0,0,0,1,NA,NA,NA,1,1,1,0,NA,NA,NA,8,5,5,7,NA,NA,NA,11,9,7,3,NA,NA,NA,NA,NA,NA
"23",23,3,1,0,3,0.25,4,9,76,0,0,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,11,9,NA,NA,NA,NA,NA,86,52,NA
"24",24,1,0,0,1,0.2,2,5,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"25",25,1,0,0,3,0.5,2,4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,8,18
"26",26,3,0,0,1,0.32,2,4,13,0,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6,5,NA,NA,NA,NA,NA,7,11,NA,NA,NA,NA,NA,NA,NA,18
"27",27,2,0,0,1,0.05,2,6,108,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,18
"28",28,2,1,0,3,0.22,4,5,141,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,112,84,18
"29",29,1,0,1,3,0.22,3,10,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,56,18
"30",30,2,1,0,1,0.26,2,4,95,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,18
"31",31,1,0,0,1,0.2,1,9,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"32",32,2,0,0,1,0.41,5,4,270,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,18
"33",33,1,0,1,3,0.04,1,5,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,34,18
