,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_batchnormalization7,params_dropout,params_epochs,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_filtersind7,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_kernel_size7,params_learnind,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_maxpooling7,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
0,0,1.1473191976547241,2024-06-27 22:18:59.441298,2024-06-27 22:23:27.303246,0 days 00:04:27.861948,7,False,True,True,True,,,,,0.1056181065689557,234,5.0,5.0,5.0,,,,,11.0,9.0,3.0,,,,,2,False,True,True,True,,,,,4,1,,,COMPLETE
1,1,2.1425483226776123,2024-06-27 22:19:35.835938,2024-06-27 22:25:42.469501,0 days 00:06:06.633563,5,False,True,True,,,,,,0.2419648705045957,205,8.0,6.0,,,,,,7.0,5.0,,,,,,2,True,True,True,,,,,,3,3,5.0,9.0,COMPLETE
2,2,0.9845523238182068,2024-06-27 22:23:27.313321,2024-06-27 22:26:46.266201,0 days 00:03:18.952880,5,False,False,True,True,True,True,False,,0.07350143671247417,128,8.0,6.0,8.0,5.0,8.0,8.0,,3.0,3.0,5.0,7.0,3.0,5.0,,3,True,True,False,True,True,,,,7,1,,,COMPLETE
3,3,5.334942817687988,2024-06-27 22:25:42.485353,2024-06-27 22:41:13.678424,0 days 00:15:31.193071,4,False,False,False,False,False,False,False,,0.18556950263150168,276,7.0,5.0,8.0,8.0,7.0,5.0,,5.0,3.0,7.0,3.0,5.0,5.0,,0,True,True,False,False,False,False,False,,7,2,17.0,,COMPLETE
4,4,2.3405423164367676,2024-06-27 22:26:46.281805,2024-06-27 22:28:51.123541,0 days 00:02:04.841736,7,False,False,True,,,,,,0.481107269868057,13,6.0,8.0,,,,,,5.0,5.0,,,,,,1,True,False,False,,,,,,3,3,5.0,20.0,COMPLETE
5,5,1.1442821025848389,2024-06-27 22:28:51.139623,2024-06-27 23:48:50.956843,0 days 01:19:59.817220,6,True,False,True,,,,,,0.4589368864308374,250,7.0,6.0,,,,,,5.0,11.0,,,,,,5,True,False,False,,,,,,3,3,102.0,4.0,COMPLETE
6,6,2.3031585216522217,2024-06-27 22:41:13.699306,2024-06-27 22:43:15.071986,0 days 00:02:01.372680,8,True,False,,,,,,,0.20150137995872347,250,7.0,,,,,,,7.0,,,,,,,2,True,True,,,,,,,2,3,5.0,5.0,COMPLETE
7,7,1.7118852138519287,2024-06-27 22:43:15.090144,2024-06-27 22:58:48.308555,0 days 00:15:33.218411,6,False,False,True,False,True,,,,0.19468806394254384,18,6.0,6.0,7.0,7.0,,,,11.0,5.0,3.0,9.0,,,,5,False,False,False,True,False,,,,5,3,67.0,4.0,COMPLETE
8,8,0.9253563284873962,2024-06-27 22:58:48.324519,2024-06-27 23:06:49.038697,0 days 00:08:00.714178,7,True,True,,,,,,,0.25294802208464573,52,5.0,,,,,,,7.0,,,,,,,5,False,True,,,,,,,2,2,114.0,,COMPLETE
9,9,3.2608649730682373,2024-06-27 23:06:49.048094,2024-06-27 23:08:41.013087,0 days 00:01:51.964993,5,True,False,False,,,,,,0.24610618128233747,145,6.0,5.0,,,,,,3.0,7.0,,,,,,1,True,False,True,,,,,,3,3,14.0,108.0,COMPLETE
10,10,2.46051025390625,2024-06-27 23:08:41.029120,2024-06-27 23:10:22.084340,0 days 00:01:41.055220,6,False,True,False,False,False,False,False,True,0.47920517343282076,30,5.0,7.0,8.0,5.0,6.0,5.0,8.0,3.0,7.0,5.0,11.0,3.0,7.0,3.0,1,True,True,True,True,,,,,8,1,,,COMPLETE
11,11,1.1131418943405151,2024-06-27 23:10:22.099930,2024-06-27 23:15:25.681969,0 days 00:05:03.582039,10,True,,,,,,,,0.3635438643179314,83,,,,,,,,,,,,,,,5,False,,,,,,,,1,2,121.0,,COMPLETE
12,12,0.9935249090194702,2024-06-27 23:15:25.681969,2024-06-27 23:32:50.156363,0 days 00:17:24.474394,9,True,True,True,True,True,True,,,0.02546229480884099,115,8.0,7.0,6.0,5.0,8.0,,,9.0,3.0,5.0,7.0,3.0,,,4,False,True,False,False,True,True,,,6,1,,,COMPLETE
13,13,0.7563077807426453,2024-06-27 23:32:50.171969,2024-06-28 00:03:56.773696,0 days 00:31:06.601727,4,True,True,True,True,True,True,True,False,0.34382867200279227,80,8.0,8.0,7.0,6.0,8.0,8.0,5.0,3.0,11.0,11.0,7.0,9.0,5.0,5.0,4,False,True,False,True,True,True,,,8,2,49.0,,COMPLETE
14,14,0.7094420790672302,2024-06-27 23:48:50.965794,2024-06-28 00:09:03.255239,0 days 00:20:12.289445,4,True,True,False,True,True,True,True,False,0.3350353687973725,76,8.0,8.0,7.0,6.0,8.0,8.0,5.0,7.0,3.0,9.0,7.0,7.0,5.0,7.0,4,False,True,False,True,True,False,True,,8,2,42.0,,COMPLETE
15,15,1.1630862951278687,2024-06-28 00:03:56.793657,2024-06-28 00:07:41.677593,0 days 00:03:44.883936,4,True,,,,,,,,0.3373467732203834,78,,,,,,,,,,,,,,,4,False,,,,,,,,1,2,42.0,,COMPLETE
16,16,0.8145796060562134,2024-06-28 00:07:41.694761,2024-06-28 00:18:16.288940,0 days 00:10:34.594179,8,True,True,False,True,True,,,,0.3389674611391957,62,5.0,8.0,6.0,7.0,,,,7.0,11.0,11.0,5.0,,,,4,False,True,False,True,True,,,,5,2,45.0,,COMPLETE
17,17,0.8265561461448669,2024-06-28 00:09:03.263426,2024-06-28 01:11:40.908690,0 days 01:02:37.645264,4,True,True,False,True,True,True,True,False,0.3534951212170685,168,8.0,8.0,7.0,6.0,8.0,8.0,5.0,9.0,11.0,11.0,7.0,7.0,9.0,7.0,4,False,True,False,True,True,False,True,,8,2,36.0,,COMPLETE
18,18,0.9202409982681274,2024-06-28 00:18:16.304927,2024-06-28 01:44:06.648078,0 days 01:25:50.343151,4,True,True,False,True,True,True,True,False,0.3754240961863392,170,8.0,8.0,7.0,6.0,8.0,8.0,5.0,9.0,11.0,9.0,7.0,7.0,9.0,7.0,3,False,True,False,True,True,True,,,8,2,29.0,,COMPLETE
19,19,0.7481774687767029,2024-06-28 01:11:40.925533,2024-06-28 01:32:56.548854,0 days 00:21:15.623321,4,True,True,False,True,True,True,True,,0.413145897465723,105,7.0,7.0,7.0,6.0,5.0,7.0,,3.0,9.0,9.0,7.0,9.0,3.0,,3,False,True,False,True,True,True,,,7,2,26.0,,COMPLETE
20,20,0.8409238457679749,2024-06-28 01:32:56.564741,2024-06-28 01:46:10.741306,0 days 00:13:14.176565,5,True,True,False,True,True,True,True,,0.4170161794394778,113,7.0,7.0,6.0,6.0,5.0,7.0,,7.0,9.0,9.0,7.0,11.0,3.0,,3,False,True,False,False,True,False,True,,7,1,,,COMPLETE
21,21,0.676855742931366,2024-06-28 01:44:06.663868,2024-06-28 02:08:11.949660,0 days 00:24:05.285792,5,True,True,False,True,False,True,,,0.40648875240277,109,7.0,7.0,6.0,7.0,5.0,,,3.0,9.0,9.0,5.0,11.0,,,3,False,False,False,False,True,False,,,6,1,,,COMPLETE
22,22,0.7009548544883728,2024-06-28 01:46:10.741306,2024-06-28 02:06:40.332075,0 days 00:20:29.590769,4,True,True,False,True,True,True,,,0.2993685275977533,100,8.0,7.0,7.0,6.0,5.0,,,3.0,9.0,9.0,7.0,9.0,,,3,False,True,False,True,True,True,,,6,2,24.0,,COMPLETE
23,23,0.7449350357055664,2024-06-28 02:06:40.332075,2024-06-28 02:17:48.772634,0 days 00:11:08.440559,5,True,True,False,True,True,True,,,0.29726004574433856,103,7.0,7.0,7.0,7.0,5.0,,,3.0,9.0,9.0,7.0,9.0,,,3,False,True,False,True,True,True,,,6,2,11.0,,COMPLETE
24,24,0.9007748961448669,2024-06-28 02:08:11.965745,2024-06-28 02:59:44.531833,0 days 00:51:32.566088,5,True,True,False,True,False,True,,,0.28834033953697585,149,8.0,7.0,5.0,7.0,6.0,,,3.0,9.0,9.0,5.0,11.0,,,3,False,False,False,False,True,False,,,6,1,,,COMPLETE
25,25,0.9120853543281555,2024-06-28 02:17:48.772634,2024-06-28 04:03:02.310401,0 days 01:45:13.537767,6,True,True,False,True,False,True,,,0.2854107509663635,140,8.0,7.0,5.0,8.0,6.0,,,3.0,9.0,9.0,5.0,11.0,,,2,False,False,False,False,False,False,,,6,1,,,COMPLETE
26,26,2.1618993282318115,2024-06-28 02:59:44.547511,2024-06-28 03:18:58.908187,0 days 00:19:14.360676,6,True,True,False,True,False,,,,0.4121860563059096,51,8.0,8.0,6.0,8.0,,,,3.0,3.0,9.0,5.0,,,,2,False,False,False,False,False,,,,5,1,,,COMPLETE
27,27,1.1771084070205688,2024-06-28 03:18:58.925187,2024-06-28 03:57:45.087169,0 days 00:38:46.161982,4,True,True,False,False,False,False,,,0.29720095426884263,182,7.0,7.0,6.0,7.0,6.0,,,11.0,9.0,9.0,11.0,11.0,,,4,False,False,True,False,True,False,,,6,1,,,COMPLETE
28,28,1.0236867666244507,2024-06-28 03:57:45.119207,2024-06-28 07:13:40.203112,0 days 03:15:55.083905,5,True,True,False,True,,,,,0.39790459329833106,130,8.0,7.0,7.0,,,,,7.0,9.0,7.0,,,,,4,False,False,False,False,,,,,4,2,9.0,,COMPLETE
29,29,0.7477208375930786,2024-06-28 04:03:02.310401,2024-06-28 05:26:49.798624,0 days 01:23:47.488223,5,True,True,False,True,,,,,0.4316436793913654,92,6.0,8.0,7.0,,,,,7.0,3.0,7.0,,,,,4,False,False,False,True,,,,,4,2,10.0,,COMPLETE
30,30,0.916212797164917,2024-06-28 05:26:49.814755,2024-06-28 05:55:14.933024,0 days 00:28:25.118269,4,True,True,False,True,False,True,True,,0.13408746827664453,196,7.0,6.0,6.0,6.0,7.0,6.0,,3.0,9.0,9.0,3.0,7.0,11.0,,3,False,False,False,False,True,False,True,,7,1,,,COMPLETE
31,31,2.2996668815612793,2024-06-28 05:55:14.949081,2024-06-28 06:11:49.893748,0 days 00:16:34.944667,8,True,True,False,False,,,,,0.38517264713406685,65,8.0,7.0,8.0,,,,,7.0,7.0,9.0,,,,,3,False,False,True,True,,,,,4,2,74.0,,COMPLETE
32,32,0.7611201405525208,2024-06-28 06:11:49.909365,2024-06-28 06:22:35.267774,0 days 00:10:45.358409,5,True,True,False,True,True,True,,,0.30476421747167454,100,7.0,7.0,7.0,7.0,5.0,,,3.0,9.0,9.0,9.0,9.0,,,3,False,True,False,True,True,True,,,6,2,10.0,,COMPLETE
33,33,1.8297584056854248,2024-06-28 06:22:35.276431,2024-06-28 06:39:15.005957,0 days 00:16:39.729526,5,True,True,False,True,True,,,,0.3145352695271403,126,7.0,7.0,7.0,7.0,,,,3.0,9.0,9.0,7.0,,,,2,False,True,False,True,True,,,,5,2,20.0,,COMPLETE
