,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
0,0,0.10000000149011612,2024-07-28 10:16:47.388559,2024-07-28 10:30:14.362923,0 days 00:13:26.974364,6,False,True,False,False,False,True,True,True,0.34,85,6.0,8.0,8.0,6.0,5.0,5.0,5.0,3.0,11.0,9.0,5.0,7.0,11.0,3.0,0,False,False,True,True,True,False,False,False,8,2,22.0,,COMPLETE
1,1,0.10000000149011612,2024-07-28 10:16:47.392064,2024-07-28 10:50:54.270192,0 days 00:34:06.878128,5,True,True,False,True,False,True,,,0.42,84,8.0,8.0,6.0,8.0,7.0,,,3.0,5.0,5.0,3.0,3.0,,,0,False,False,False,True,False,True,,,6,3,8.0,4.0,COMPLETE
2,2,0.10000000149011612,2024-07-28 10:30:14.378567,2024-07-28 10:31:44.447094,0 days 00:01:30.068527,10,False,True,False,,,,,,0.1,32,5.0,7.0,,,,,,7.0,11.0,,,,,,0,True,True,True,,,,,,3,1,,,COMPLETE
3,3,0.10000000149011612,2024-07-28 10:31:44.457031,2024-07-28 10:50:06.662914,0 days 00:18:22.205883,6,True,True,False,False,False,True,,,0.36,74,7.0,8.0,8.0,7.0,6.0,,,7.0,9.0,11.0,5.0,11.0,,,1,False,False,False,True,False,True,,,6,3,27.0,44.0,COMPLETE
4,4,0.7282000184059143,2024-07-28 10:50:06.662914,2024-07-28 10:51:47.908934,0 days 00:01:41.246020,10,False,False,True,False,True,True,,,0.17,87,6.0,7.0,6.0,8.0,5.0,,,5.0,7.0,11.0,5.0,11.0,,,3,True,True,True,False,False,False,,,6,1,,,COMPLETE
5,5,0.10649999976158142,2024-07-28 10:50:54.291685,2024-07-28 10:53:50.008509,0 days 00:02:55.716824,5,True,False,True,,,,,,0.45,38,5.0,5.0,,,,,,7.0,5.0,,,,,,2,False,False,False,,,,,,3,2,4.0,,COMPLETE
6,6,0.772599995136261,2024-07-28 10:51:47.924774,2024-07-28 10:53:35.627705,0 days 00:01:47.702931,7,False,True,True,True,True,,,,0.22,135,7.0,5.0,6.0,7.0,,,,3.0,7.0,9.0,9.0,,,,3,False,True,True,True,False,,,,5,1,,,COMPLETE
7,7,0.17239999771118164,2024-07-28 10:53:35.643507,2024-07-28 10:56:25.573196,0 days 00:02:49.929689,8,True,False,True,True,,,,,0.41000000000000003,202,5.0,7.0,7.0,,,,,9.0,11.0,7.0,,,,,0,True,False,False,False,,,,,4,1,,,COMPLETE
8,8,0.6122000217437744,2024-07-28 10:53:50.024454,2024-07-28 11:29:52.831321,0 days 00:36:02.806867,5,False,,,,,,,,0.46,170,,,,,,,,,,,,,,,5,True,,,,,,,,1,3,21.0,47.0,COMPLETE
9,9,0.7016000151634216,2024-07-28 10:56:25.589531,2024-07-28 11:07:57.073132,0 days 00:11:31.483601,7,False,True,False,False,False,False,False,,0.12,249,7.0,5.0,5.0,6.0,5.0,6.0,,9.0,7.0,7.0,11.0,5.0,7.0,,5,True,False,True,False,True,False,True,,7,2,66.0,,COMPLETE
10,10,0.6886000037193298,2024-07-28 11:07:57.090389,2024-07-28 11:16:37.980731,0 days 00:08:40.890342,5,True,True,True,True,False,True,False,,0.44,246,8.0,8.0,7.0,5.0,5.0,5.0,,7.0,3.0,3.0,9.0,9.0,3.0,,5,True,False,False,True,True,False,True,,7,1,,,COMPLETE
